estu_nacionalidad	estu_depto_reside	estu_mcpio_reside	estu_estudiante	estu_nse_individual	estu_nse_establecimiento	punt_lectura_critica	punt_matematicas	punt_c_naturales	punt_sociales_ciudadanas	punt_ingles	punt_global	cole_jornada	cole_naturaleza	cole_area_ubicacion	fami_estratovivienda	estu_edad	estu_genero	fami_situacioneconomica	fami_comecarnepescadohuevo	fami_numlibros	estu_dedicacionlecturadiaria	estu_dedicacioninternet	fami_tienecomputador	tiene_vehiculo	edu_max_padres	hacinamiento	trabaja_cat	glo	cole_tipo
COLOMBIA	TOLIMA	FLANDES	ESTUDIANTE	2	2	50	43	40	32	43	207	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Igual	3 a 5 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	GUAMO	ESTUDIANTE	2	2	51	37	52	50	43	236	UNICA	OFICIAL	URBANO	Estrato 1	Edad.17a18	F	Igual	Todos o casi todos los días	0 A 10 LIBROS	Entre 30 y 60 minutos	Entre 1 y 3 horas	No	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	RIOBLANCO	ESTUDIANTE	2	2	69	67	58	65	71	326	UNICA	OFICIAL	URBANO	Estrato 3	Edad.15a16	F	Peor	1 o 2 veces por semana	0 A 10 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	Si	VEH.No	Edu.Técnico	HAC.NO	Trabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	MELGAR	ESTUDIANTE	2	2	52	57	43	51	47	252	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Igual	3 a 5 veces por semana	26 A 100 LIBROS	30 minutos o menos	No Navega Internet	No	VEH.No	Edu.Profesional	HAC.SI	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	ATACO	ESTUDIANTE	3	2	51	53	55	42	48	250	UNICA	OFICIAL	URBANO	Estrato 1	Edad.17a18	M	Igual	3 a 5 veces por semana	11 A 25 LIBROS	30 minutos o menos	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Bachiller	HAC.NO	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	3	55	56	60	61	60	291	UNICA	OFICIAL	URBANO	Estrato 3	Edad.17a18	F	Igual	Todos o casi todos los días	0 A 10 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	No	VEH.No	Edu.Primaria	HAC.NO	Trabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	ROVIRA	ESTUDIANTE	2	2	37	29	32	28	28	156	MAÑANA	OFICIAL	RURAL	Estrato 1	Edad.17a18	M	Igual	1 o 2 veces por semana	11 A 25 LIBROS	30 minutos o menos	Más de 3 horas	No	VEH.Sí	Edu.Primaria	HAC.SI	Trabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	2	63	59	57	65	54	302	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Mejor	Todos o casi todos los días	0 A 10 LIBROS	30 minutos o menos	Entre 1 y 3 horas	Si	VEH.No	Edu.Primaria	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	2	55	51	57	45	45	257	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Igual	Todos o casi todos los días	0 A 10 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	3	47	42	43	39	41	213	MAÑANA	NO OFICIAL	URBANO	Estrato 3	Edad.17a18	M	Igual	3 a 5 veces por semana	26 A 100 LIBROS	30 minutos o menos	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Técnico	HAC.NO	Trabaja	Glo.Bajo	Urbano/No_Oficial
COLOMBIA	TOLIMA	PURIFICACIÓN	ESTUDIANTE	2	2	34	28	35	28	42	160	UNICA	OFICIAL	URBANO	Estrato 1	Edad.15a16	F	Igual	1 o 2 veces por semana	0 A 10 LIBROS	30 minutos o menos	30 minutos o menos	No	VEH.No	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	2	2	53	46	43	41	38	226	TARDE	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Mejor	3 a 5 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	Entre 30 y 60 minutos	Si	VEH.No	Edu.Técnico	HAC.NO	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	3	68	62	44	55	51	284	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	3 a 5 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	Entre 30 y 60 minutos	Si	VEH.No	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	FLANDES	ESTUDIANTE	1	2	60	45	43	43	48	239	UNICA	OFICIAL	RURAL	Estrato 1	Edad.15a16	F	Peor	Nunca o rara vez comemos eso	0 A 10 LIBROS	Entre 1 y 2 horas	No Navega Internet	No	VEH.No	Edu.Primaria	HAC.SI	NoTrabaja	Glo.MBajo	Rural/Oficial
COLOMBIA	TOLIMA	COYAIMA	ESTUDIANTE	2	1	51	49	58	39	50	247	UNICA	OFICIAL	RURAL	Estrato 1	Edad.15a16	F	Peor	1 o 2 veces por semana	11 A 25 LIBROS	Más de 2 horas	Entre 30 y 60 minutos	No	VEH.No	Edu.Técnico	HAC.NO	NoTrabaja	Glo.MBajo	Rural/Oficial
COLOMBIA	TOLIMA	FLANDES	ESTUDIANTE	2	2	29	24	34	29	34	147	TARDE	OFICIAL	URBANO	Estrato 3	Edad.17a18	F	Igual	1 o 2 veces por semana	0 A 10 LIBROS	30 minutos o menos	30 minutos o menos	No	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	67	65	59	65	58	318	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Peor	1 o 2 veces por semana	26 A 100 LIBROS	Entre 1 y 2 horas	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	2	2	47	59	39	38	43	228	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	Más de 3 horas	No	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	2	50	41	40	40	56	219	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Igual	3 a 5 veces por semana	11 A 25 LIBROS	Entre 30 y 60 minutos	Entre 1 y 3 horas	No	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	VILLARRICA	ESTUDIANTE	3	2	36	51	46	38	42	213	UNICA	OFICIAL	URBANO	Estrato 1	Edad.15a16	F	Igual	Todos o casi todos los días	11 A 25 LIBROS	30 minutos o menos	Entre 30 y 60 minutos	Si	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	NATAGAIMA	ESTUDIANTE	2	2	35	30	37	28	48	168	TARDE	OFICIAL	URBANO	Estrato 3	Edad.15a16	M	Igual	1 o 2 veces por semana	0 A 10 LIBROS	Entre 30 y 60 minutos	30 minutos o menos	No	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	ATACO	ESTUDIANTE	1	2	58	53	47	48	47	256	UNICA	OFICIAL	RURAL	Estrato 2	Edad.15a16	F	Igual	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	Entre 30 y 60 minutos	No	VEH.No	Edu.Primaria	HAC.NO	Trabaja	Glo.MAlto	Rural/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	65	70	73	67	55	338	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Mejor	Todos o casi todos los días	11 A 25 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	MELGAR	ESTUDIANTE	3	2	62	43	50	49	54	256	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Igual	3 a 5 veces por semana	0 A 10 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	No	VEH.Sí	Edu.Profesional	HAC.SI	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	52	45	46	46	46	236	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Igual	Todos o casi todos los días	0 A 10 LIBROS	Entre 30 y 60 minutos	30 minutos o menos	Si	VEH.Sí	Edu.Primaria	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	2	66	65	62	55	66	312	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Mejor	Todos o casi todos los días	26 A 100 LIBROS	30 minutos o menos	Entre 30 y 60 minutos	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	ORTEGA	ESTUDIANTE	2	1	55	60	59	50	57	280	MAÑANA	OFICIAL	RURAL	Estrato 1	Edad.15a16	M	Mejor	3 a 5 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	No	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.MAlto	Rural/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	4	64	59	68	75	63	331	COMPLETA	NO OFICIAL	URBANO	Estrato 4	Edad.17a18	M	Igual	Todos o casi todos los días	11 A 25 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.Alto	Urbano/No_Oficial
COLOMBIA	TOLIMA	VENADILLO	ESTUDIANTE	2	2	61	41	52	60	45	264	MAÑANA	OFICIAL	RURAL	Estrato 1	Edad.15a16	F	Igual	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	Entre 30 y 60 minutos	No	VEH.Sí	Edu.Primaria	HAC.NO	NoTrabaja	Glo.MAlto	Rural/Oficial
COLOMBIA	TOLIMA	CAJAMARCA	ESTUDIANTE	2	2	49	49	42	44	41	228	MAÑANA	OFICIAL	RURAL	Estrato 2	Edad.15a16	M	Igual	1 o 2 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	No	VEH.Sí	Edu.Primaria	HAC.NO	NoTrabaja	Glo.MBajo	Rural/Oficial
COLOMBIA	TOLIMA	GUAMO	ESTUDIANTE	2	2	71	53	59	68	66	315	UNICA	OFICIAL	URBANO	Estrato 1	Edad.15a16	M	Mejor	1 o 2 veces por semana	26 A 100 LIBROS	30 minutos o menos	Entre 1 y 3 horas	No	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	CASABIANCA	ESTUDIANTE	1	1	46	58	54	36	43	240	MAÑANA	OFICIAL	RURAL	Estrato 2	Edad.15a16	M	Igual	1 o 2 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	No Navega Internet	No	VEH.No	Edu.Bachiller	HAC.SI	Trabaja	Glo.MBajo	Rural/Oficial
COLOMBIA	TOLIMA	GUAMO	ESTUDIANTE	3	2	46	42	42	39	33	208	UNICA	OFICIAL	RURAL	Estrato 2	Edad.15a16	M	Mejor	3 a 5 veces por semana	0 A 10 LIBROS	Entre 30 y 60 minutos	Entre 1 y 3 horas	No	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	CAJAMARCA	ESTUDIANTE	2	2	48	37	46	37	57	216	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Igual	Todos o casi todos los días	11 A 25 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	No	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	COYAIMA	ESTUDIANTE	1	2	32	27	36	30	35	158	MAÑANA	OFICIAL	RURAL	Estrato 3	Edad.17a18	M	Mejor	1 o 2 veces por semana	11 A 25 LIBROS	Entre 30 y 60 minutos	30 minutos o menos	No	VEH.Sí	Edu.Primaria	HAC.NO	NoTrabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	SALDAÑA	ESTUDIANTE	2	2	60	44	49	42	53	245	UNICA	OFICIAL	RURAL	Estrato 2	Edad.15a16	F	Igual	Todos o casi todos los días	0 A 10 LIBROS	30 minutos o menos	Más de 3 horas	No	VEH.Sí	Edu.Primaria	HAC.NO	NoTrabaja	Glo.MBajo	Rural/Oficial
COLOMBIA	TOLIMA	SALDAÑA	ESTUDIANTE	2	2	61	50	37	44	43	238	UNICA	OFICIAL	RURAL	Estrato 2	Edad.17a18	F	Igual	1 o 2 veces por semana	0 A 10 LIBROS	30 minutos o menos	Entre 1 y 3 horas	No	VEH.No	Edu.Bachiller	HAC.SI	Trabaja	Glo.MBajo	Rural/Oficial
COLOMBIA	TOLIMA	VENADILLO	ESTUDIANTE	1	2	60	59	49	51	47	271	MAÑANA	OFICIAL	RURAL	Estrato 1	Edad.17a18	M	Peor	Nunca o rara vez comemos eso	0 A 10 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	No	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.MAlto	Rural/Oficial
COLOMBIA	TOLIMA	MELGAR	ESTUDIANTE	2	3	59	60	58	51	53	283	COMPLETA	NO OFICIAL	URBANO	Estrato 3	Edad.15a16	F	Peor	1 o 2 veces por semana	11 A 25 LIBROS	Entre 30 y 60 minutos	30 minutos o menos	No	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/No_Oficial
COLOMBIA	TOLIMA	ICONONZO	ESTUDIANTE	2	2	36	47	32	30	27	178	MAÑANA	OFICIAL	RURAL	Estrato 2	Edad.17a18	M	Igual	1 o 2 veces por semana	11 A 25 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	No	VEH.No	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	66	61	57	55	41	292	TARDE	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Mejor	Todos o casi todos los días	11 A 25 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.No	Edu.Técnico	HAC.NO	Trabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	4	34	47	48	22	46	192	COMPLETA	NO OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Peor	3 a 5 veces por semana	11 A 25 LIBROS	Entre 30 y 60 minutos	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	Trabaja	Glo.Bajo	Urbano/No_Oficial
COLOMBIA	TOLIMA	CHAPARRAL	ESTUDIANTE	1	2	50	49	52	56	38	253	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Igual	1 o 2 veces por semana	11 A 25 LIBROS	Entre 30 y 60 minutos	No Navega Internet	No	VEH.No	Edu.Primaria	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	3	57	48	53	44	41	249	MAÑANA	OFICIAL	URBANO	Estrato 3	Edad.17a18	F	Igual	Todos o casi todos los días	26 A 100 LIBROS	No leo por entretenimiento	Más de 3 horas	Si	VEH.No	Edu.Profesional	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	3	54	61	50	58	46	275	MAÑANA	NO OFICIAL	URBANO	Estrato 3	Edad.17a18	M	Igual	Todos o casi todos los días	11 A 25 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/No_Oficial
COLOMBIA	TOLIMA	HONDA	ESTUDIANTE	2	2	69	66	62	63	65	325	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Igual	3 a 5 veces por semana	11 A 25 LIBROS	30 minutos o menos	Entre 1 y 3 horas	No	VEH.No	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	1	3	50	56	59	55	60	277	COMPLETA	NO OFICIAL	URBANO	Estrato 1	Edad.17a18	M	Peor	Nunca o rara vez comemos eso	0 A 10 LIBROS	No leo por entretenimiento	30 minutos o menos	No	VEH.Sí	Edu.Bachiller	HAC.NO	Trabaja	Glo.MAlto	Urbano/No_Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	2	47	47	43	32	46	213	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Peor	3 a 5 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	30 minutos o menos	No	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	CARMEN DE APICALÁ	ESTUDIANTE	2	2	49	35	33	34	36	188	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Igual	Todos o casi todos los días	11 A 25 LIBROS	30 minutos o menos	30 minutos o menos	No	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	CARMEN DE APICALÁ	ESTUDIANTE	3	2	43	47	40	39	31	207	UNICA	OFICIAL	URBANO	Estrato 1	Edad.15a16	M	Igual	Todos o casi todos los días	11 A 25 LIBROS	30 minutos o menos	Entre 30 y 60 minutos	No	VEH.Sí	Edu.Bachiller	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	SAN SEBASTIÁN DE MARIQUITA	ESTUDIANTE	2	2	56	54	46	51	52	259	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Igual	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	Entre 1 y 3 horas	No	VEH.No	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	2	46	48	40	24	47	200	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Mejor	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	Entre 30 y 60 minutos	Si	VEH.No	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	50	44	39	38	47	215	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	Todos o casi todos los días	0 A 10 LIBROS	30 minutos o menos	Más de 3 horas	No	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	3	70	71	62	51	57	315	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Igual	3 a 5 veces por semana	0 A 10 LIBROS	Entre 1 y 2 horas	Entre 30 y 60 minutos	No	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	GUAMO	ESTUDIANTE	2	2	56	35	47	36	37	215	UNICA	OFICIAL	URBANO	Estrato 1	Edad.17a18	M	Igual	Todos o casi todos los días	11 A 25 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	No	VEH.No	Edu.Primaria	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	1	2	49	40	39	37	37	205	MAÑANA	OFICIAL	RURAL	Estrato 1	Edad.15a16	F	Igual	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	30 minutos o menos	No	VEH.No	Edu.Primaria	HAC.SI	NoTrabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	2	51	54	50	43	51	248	MAÑANA	OFICIAL	URBANO	Estrato 3	Edad.17a18	M	Igual	1 o 2 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	No Navega Internet	No	VEH.No	Edu.Bachiller	HAC.NO	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	PURIFICACIÓN	ESTUDIANTE	2	2	29	37	33	26	38	159	UNICA	OFICIAL	RURAL	Estrato 4	Edad.15a16	F	Mejor	Todos o casi todos los días	11 A 25 LIBROS	Entre 30 y 60 minutos	No Navega Internet	Si	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	2	70	57	50	50	44	279	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Igual	1 o 2 veces por semana	11 A 25 LIBROS	Entre 1 y 2 horas	Más de 3 horas	Si	VEH.Sí	Edu.Técnico	HAC.NO	Trabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	41	51	41	48	42	225	MAÑANA	OFICIAL	URBANO	Estrato 3	Edad.15a16	M	Mejor	Todos o casi todos los días	11 A 25 LIBROS	Entre 1 y 2 horas	30 minutos o menos	Si	VEH.Sí	Edu.Profesional	HAC.SI	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	RIOBLANCO	ESTUDIANTE	3	2	27	34	40	38	45	178	UNICA	OFICIAL	URBANO	Estrato 3	Edad.17a18	F	Peor	3 a 5 veces por semana	26 A 100 LIBROS	30 minutos o menos	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	2	54	57	55	47	53	266	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	Todos o casi todos los días	0 A 10 LIBROS	No leo por entretenimiento	Más de 3 horas	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	DOLORES	ESTUDIANTE	3	2	60	52	55	63	72	293	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	Todos o casi todos los días	0 A 10 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	2	80	75	72	82	83	388	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Peor	3 a 5 veces por semana	26 A 100 LIBROS	Más de 2 horas	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	MELGAR	ESTUDIANTE	2	2	50	40	36	36	38	202	UNICA	OFICIAL	URBANO	Estrato 1	Edad.15a16	F	Mejor	Todos o casi todos los días	11 A 25 LIBROS	Entre 1 y 2 horas	Entre 1 y 3 horas	No	VEH.No	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	55	69	69	55	71	313	MAÑANA	OFICIAL	URBANO	Estrato 1	Edad.17a18	M	Igual	3 a 5 veces por semana	11 A 25 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	Si	VEH.No	Edu.Técnico	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	MELGAR	ESTUDIANTE	2	2	49	61	53	44	37	253	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	30 minutos o menos	Si	VEH.No	Edu.Bachiller	HAC.NO	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	3	55	49	50	49	50	253	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Igual	1 o 2 veces por semana	0 A 10 LIBROS	Más de 2 horas	Entre 1 y 3 horas	Si	VEH.No	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	2	68	58	67	69	64	327	MAÑANA	OFICIAL	URBANO	Estrato 3	Edad.15a16	F	Igual	1 o 2 veces por semana	26 A 100 LIBROS	Entre 30 y 60 minutos	No Navega Internet	Si	VEH.Sí	Edu.Profesional	HAC.NO	Trabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	3	2	43	56	44	29	54	219	UNICA	OFICIAL	URBANO	Estrato 3	Edad.15a16	M	Mejor	3 a 5 veces por semana	11 A 25 LIBROS	30 minutos o menos	Entre 30 y 60 minutos	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	PRADO	ESTUDIANTE	1	2	41	51	52	47	51	240	MAÑANA	OFICIAL	RURAL	Estrato 1	Edad.15a16	F	Igual	1 o 2 veces por semana	0 A 10 LIBROS	30 minutos o menos	Entre 1 y 3 horas	No	VEH.No	Edu.Primaria	HAC.NO	Trabaja	Glo.MBajo	Rural/Oficial
COLOMBIA	TOLIMA	GUAMO	ESTUDIANTE	2	2	42	30	39	36	50	189	MAÑANA	OFICIAL	RURAL	Estrato 3	Edad.17a18	F	Igual	1 o 2 veces por semana	11 A 25 LIBROS	Entre 30 y 60 minutos	No Navega Internet	No	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	LÍBANO	ESTUDIANTE	2	2	52	51	49	46	50	248	UNICA	OFICIAL	URBANO	Estrato 1	Edad.15a16	F	Igual	1 o 2 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	Entre 30 y 60 minutos	No	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.MBajo	Urbano/Oficial
